combo,n_features,fold,hmm_seed,n_xgb_seeds,fee,val_sharpe,n_val_months,hmm_elapsed_sec,xgb_elapsed_sec
DD+LVIX,2,2,1,5,0.001,0.27437650083184795,24,38.084954023361206,42.82512903213501
DD+LVIX,2,2,2,5,0.001,0.1659747199817927,24,37.574334144592285,44.019999980926514
DD+LVIX,2,3,1,5,0.001,0.09063476205780893,24,46.909440994262695,64.48118019104004
DD+LVIX,2,3,0,5,0.001,-0.2356644381810106,24,47.056126832962036,65.0608057975769
DD+LVIX,2,3,2,5,0.001,-0.8102672902077974,24,46.540178060531616,63.35720491409302
DD+LVIX,2,4,0,5,0.001,0.9375514196997056,24,55.47910404205322,67.29836010932922
DD+LVIX,2,4,1,5,0.001,1.693931616547515,24,56.148857831954956,66.68809819221497
DD+LVIX,2,4,2,5,0.001,0.8620360718195972,24,55.84906005859375,67.57419991493225
DD+DISP,2,1,0,5,0.001,0.6523727995969759,24,29.94063115119934,39.97478699684143
DD+DISP,2,1,1,5,0.001,1.1139164167644202,24,29.62688398361206,40.08889079093933
DD+LVIX,2,5,0,5,0.001,0.18942845442273817,24,65.22546911239624,86.50448894500732
DD+LVIX,2,5,1,5,0.001,0.03412002553144662,24,64.9876012802124,86.62103509902954
DD+LVIX,2,5,2,5,0.001,0.249285903421187,24,64.72573494911194,87.00697016716003
DD+DISP,2,1,2,5,0.001,0.7733752134004502,24,29.7522931098938,36.51318311691284
DD+DISP,2,2,0,5,0.001,0.35307087563029177,24,37.51805019378662,46.63334393501282
DD+DISP,2,2,1,5,0.001,0.06378630536633369,24,37.615849018096924,46.739098072052
DD+DISP,2,2,2,5,0.001,0.21107744890929694,24,37.73003816604614,50.30519771575928
DD+DISP,2,3,0,5,0.001,-0.4523882351153902,24,46.955748081207275,59.98105311393738
DD+DISP,2,3,1,5,0.001,-0.4973283174943958,24,47.06932210922241,61.1278657913208
DD+DISP,2,3,2,5,0.001,-0.6029271819807434,24,46.470601081848145,59.711618185043335
DD+DISP,2,4,0,5,0.001,1.779538573840415,24,56.139933347702026,67.30251479148865
DD+DISP,2,4,1,5,0.001,1.5766891197256674,24,56.57778573036194,68.64558601379395
DD+DISP,2,4,2,5,0.001,1.4881666929585746,24,56.57291078567505,69.18132615089417
DD+DISP,2,5,0,5,0.001,-0.4181663187306966,24,65.64746713638306,83.06975388526917
DD+DISP,2,5,1,5,0.001,-0.29625788116823365,24,64.90806317329407,82.80995297431946
DD+DISP,2,5,2,5,0.001,-0.7008430294733045,24,65.2156310081482,80.85405707359314
DD+REL_N,2,1,0,5,0.001,0.5032177984210423,24,29.326430797576904,35.69840598106384
DD+REL_N,2,1,1,5,0.001,0.3951888371153182,24,29.913506269454956,35.24921274185181
DD+REL_N,2,1,2,5,0.001,0.6220372952356391,24,29.77750015258789,34.66786575317383
DD+REL_N,2,2,0,5,0.001,0.29750266092120314,24,38.036070108413696,46.98287010192871
DD+REL_N,2,2,1,5,0.001,0.4218731057562306,24,37.72652888298035,47.422297954559326
DD+REL_N,2,2,2,5,0.001,0.4151873701898361,24,38.050631046295166,47.91601204872131
DD+REL_N,2,3,0,5,0.001,-0.5940751685139848,24,46.56571125984192,57.918309688568115
